누적 확진률,누적 검사수,누적 검사 완료 수,치료 중 환자 수,격리 해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수,기준일,당일 확진자 수
1.026411361,2479226,2462463,1443,23368,444,25275,16763,2437188,20201019,76
1.025705526,2474529,2456748,1407,23312,444,25199,17781,2431549,20201018,91
1.02431086,2468527,2451209,1414,23258,443,25108,17318,2426101,20201017,73
1.025154469,2459426,2442071,1467,23180,441,25035,17355,2417036,20201016,47
1.027265623,2450739,2432477,1410,23082,439,24988,18262,2407489,20201015,110
1.02672379,2441443,2423047,1508,23030,438,24878,18396,2398169,20201014,73
1.02983127,2428771,2408647,1542,22863,434,24805,20124,2383842,20201013,102
1.030830181,2415610,2396418,1481,22728,433,24703,19192,2371715,20201012,98
1.028989871,2410483,2391180,1494,22692,432,24605,19303,2366575,20201011,58
1.028921466,2404684,2385702,1479,22623,430,24547,18982,2361155,20201010,72
1.028562735,2400233,2379534,1532,22568,428,24475,20699,2355059,20201009,54
1.031350592,2388844,2367866,1594,22462,427,24421,20978,2343445,20201008,69
1.033644816,2378073,2355935,1734,22333,425,24352,22138,2331583,20201007,114
1.034619942,2365433,2342696,1856,22082,422,24238,22737,2318458,20201006,75
1.037069338,2352378,2329931,1825,21885,422,24163,22447,2305768,20201005,73
1.03647274,2346345,2324229,1820,21844,421,24090,22116,2300139,20201004,64
1.036241273,2339859,2318572,1803,21786,420,24026,21287,2294546,20201003,75
1.035145057,2333777,2313782,1808,21732,416,23951,19995,2289831,20201002,63
1.034826629,2328435,2308406,1808,21665,415,23888,20029,2284518,20201001,77
1.034180376,2322999,2302403,1822,21590,413,23811,20596,2278592,20200930,113
1.033498649,2313044,2292988,1963,21469,407,23698,20056,2269290,20200929,38
1.036484609,2301303,2282716,1962,21291,406,23660,18587,2259056,20200928,50
1.036599742,2296517,2277639,1951,21247,401,23610,18878,2254029,20200927,95
1.035065456,2290345,2271837,2082,21165,399,23515,18508,2248322,20200926,61
1.037465813,2280276,2260701,2116,20977,395,23454,19575,2237247,20200925,114
1.038156014,2268999,2248217,2178,20831,393,23340,20782,2224877,20200924,125
1.038065223,2256899,2236372,2277,20649,388,23215,20527,2213157,20200923,110
1.039880462,2245112,2221890,2412,20440,388,23105,23222,2198785,20200922,61
1.043161934,2231589,2209053,2434,20247,385,23044,22536,2186009,20200921,70
1.043121974,2226701,2202427,2545,20157,383,22974,24274,2179453,20200920,82
1.043173778,2219162,2194457,2635,19969,378,22892,24705,2171565,20200919,110
1.044584913,2206365,2180962,2742,19770,377,22782,25403,2158180,20200918,126
1.045797975,2191892,2166384,2827,19542,372,22656,25508,2143728,20200917,153
1.045197609,2178832,2152990,3146,19309,367,22503,25842,2130487,20200916,113
1.047599084,2164578,2137268,3433,18877,367,22390,27310,2114878,20200915,106
1.049386728,2151002,2123526,3592,18488,363,22284,27476,2101242,20200914,109
1.048183346,2143270,2115565,3671,18225,358,22175,27705,2093390,20200913,121
1.046388101,2135457,2107631,3953,18028,355,22054,27826,2085577,20200912,136
1.048814521,2119211,2089788,4037,17615,350,21918,29423,2067870,20200911,176
1.052079941,2099591,2066573,4221,17359,346,21742,33018,2044831,20200910,155
1.0552373,2082234,2045701,4455,17022,344,21587,36533,2024114,20200909,156
1.059520208,2066078,2022708,4663,16635,341,21431,43370,2001277,20200908,136
1.062525072,2051297,2004188,4697,16296,336,21295,47109,1982893,20200907,119
1.060754971,2045935,1996314,4668,16145,334,21176,49621,1975138,20200906,167
1.058404972,2037045,1984968,4727,16008,333,21009,52077,1963959,20200905,168
1.059726234,2018906,1966640,4785,15783,331,20841,52266,1945799,20200904,198
1.061321482,2000552,1945028,4766,15529,329,20643,55524,1924385,20200903,195
1.063036151,1980295,1923547,4659,15356,326,20448,56748,1903099,20200902,267
1.060853045,1959080,1902337,4649,15198,324,20181,56743,1882156,20200901,235
1.061062989,1937689,1879813,4472,14973,324,19946,57876,1859867,20200831,248
1.055542725,1924170,1866149,4313,14903,323,19698,58021,1846451,20200830,299
1.045608675,1909329,1855283,4209,14765,321,19399,54046,1835884,20200829,323
1.038428835,1887717,1837006,3931,14551,316,19076,50711,1817930,20200828,371
1.029139418,1869579,1817538,3584,14461,313,18705,52041,1798833,20200827,441
1.016524082,1849506,1796711,3348,14368,312,18264,52795,1778447,20200826,320
1.010659119,1825837,1775475,3136,14286,310,17944,50362,1757531,20200825,280
